ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
416,NGC 55,,3.723333,-39.196667,0.24822219999999998,,,0.0
293,QR And,,4.957917,21.947778,0.3305278,,,0.0
338,47 Tuc,,6.0225,-72.081389,0.4015,,,0.0
590,IGR J00291+5934,,7.262917,59.571944,0.48419446666666666,,,0.0
52,541132 Leleakuhonua,541132 Leleakuhonua (2015 TG387),7.39502,15.22984,0.4930013333333333,,,1.0
609,Mayall II,,8.19375,39.577778,0.54625,,,0.0
50,(91554) 1999 RZ215,91554 (1999 RZ215),8.33869,20.13111,0.5559126666666666,,,1.0
426,A68-HLS115,,9.289583,9.151111,0.6193055333333334,,,0.0
444,Cartwheel,,9.42125,-33.716389,0.6280833333333333,,,0.0
398,NGC 205,,10.092083,41.685278,0.6728055333333334,,,0.0
610,(GC) 037-B327,,10.395833,41.248611,0.6930555333333334,,,0.0
644,Holm 15A,,10.460417,-9.303056,0.6973611333333333,,,0.0
396,M32,,10.674167,40.865278,0.7116111333333334,,,0.0
787,GJ 1019,,10.898333,28.444722,0.7265555333333332,,,0.0
88,LHS 1140,,11.247083,-15.271667,0.7498055333333333,,,0.0
723,NGC 247,,11.785833,-20.760278,0.7857222,,,0.0
245,van Maanen 2,,12.29125,5.388611,0.8194166666666667,,,0.0
191,MSX SMC 055,,12.53,-73.523611,0.8353333333333333,,,0.0
477,I Zwicky 1,,13.395417,12.693333,0.8930278,,,0.0
415,NGC 300,,13.7225,-37.684167,0.9148333333333334,,,0.0
314,gamma Cas,,14.177083,60.716667,0.9451388666666667,,,0.0
341,M31-EC4,,14.564167,38.050556,0.9709444666666667,,,0.0
399,Sculptor dSph,,15.039167,-33.708889,1.0026111333333334,,,0.0
422,IC 1613,,16.225833,2.133333,1.0817222000000002,,,0.0
177,IRC +10011,,16.608333,12.598056,1.1072221999999998,,,0.0
429,Arp 236,,16.946667,-17.506944,1.1297778,,,0.0
406,NGC 404,,17.362917,35.718056,1.1575278,,,0.0
215,HE 0107-5240,,17.371667,-52.409444,1.1581111333333332,,,0.0
470,ESO 243-49 HLX1,,17.617917,-46.072778,1.1745278,,,0.0
95,1 Ceres,1 Ceres (A801 AA),19.77657,1.33596,1.318438,,,1.0
727,GSN 069,,19.78625,-34.191944,1.3190833333333332,,,0.0
39,2060 Chiron,2060 Chiron (1977 UB),21.12679,9.34575,1.4084526666666666,,,1.0
439,Minkowski's object,,21.445833,-1.371667,1.4297222,,,0.0
537,1173 Anchises,1173 Anchises (1930 UB),23.31721,16.08887,1.5544806666666666,,,1.0
347,NGC 604,,23.63375,30.783611,1.5755833333333333,,,0.0
262,ZZ Cet,,24.056667,-11.3425,1.6037778,,,0.0
324,WD 0135-052,,24.4975,-4.995833,1.6331666666666667,,,0.0
404,MRG-M0138,,24.51625,-21.930278,1.6344166666666666,,,0.0
225,UV Cet,,24.756667,-17.950278,1.6504444666666667,,,0.0
15,3200 Phaethon,3200 Phaethon (1983 TB),25.00116,21.9779,1.666744,,,1.0
765,IceCube neutrino multiplet,,25.7,39.6,1.7133333333333334,,,0.0
72,tau Cet,,26.017083,-15.9375,1.7344722,,,0.0
96,136199 Eris,136199 Eris (2003 UB313),26.38123,-0.32159,1.7587486666666665,,,1.0
403,MRG-M0150,,27.588333,-10.091667,1.8392221999999998,,,0.0
411,Phoenix dwarf,,27.77625,-44.444722,1.85175,,,0.0
76,BD+20 307,,28.709583,21.306111,1.9139722,,,0.0
92,TOI 849 b,,28.715417,-29.421667,1.9143611333333332,,,0.0
29,153 Hilda,153 Hilda (A875 VC),28.80344,12.45292,1.9202293333333331,,,1.0
538,(55636) 2002 TX300,55636 (2002 TX300),29.42713,39.10791,1.9618086666666665,,,1.0
750,FRB 180916.J0158+65,,29.503333,65.716667,1.9668888666666668,,,0.0
695,(10537) 1991 RY16,10537 (1991 RY16),30.10485,10.61013,2.00699,,,1.0
393,NGC 821,,32.087917,10.995,2.1391944666666665,,,0.0
777,NGC 814,,32.656667,-15.773611,2.1771111333333333,,,0.0
436,SL2S J02176-0513,,34.404583,-5.225,2.293638866666667,,,0.0
621,Segue 2,,34.816667,20.175278,2.3211111333333334,,,0.0
216,Mira,,34.836667,-2.9775,2.3224444666666666,,,0.0
49,(20161) 1996 TR66,20161 (1996 TR66),35.32166,25.3981,2.3547773333333333,,,1.0
410,NGC 891,,35.637083,42.348333,2.375805533333333,,,0.0
